"Provider Name","Provider City","Hospital Referral Region Description","Avg_Discharges","Total_Avg_Cov_Charges","Total_Avg_Payments","Total_Avge_Medicare_Payments"
"MOUNT CARMEL ST ANN'S HOSPITAL","WESTERVILLE","OH - Columbus",36.358024691358,1660607.54,718593.52,617544.12
"WILLIAM W BACKUS HOSPITAL","NORWICH","CT - Hartford",41.6233766233766,1589615.35,718509.45,617771.08
"METRO HEALTH HOSPITAL","WYOMING","MI - Grand Rapids",28.5625,1401621.65,717987.42,611360.34
"ADVENTIST MEDICAL CENTER","HANFORD","CA - Fresno",44.2753623188406,2706201.81,717312.69,646400.54
"BEVERLY HOSPITAL CORPORATION","BEVERLY","MA - Boston",59.0609756097561,1146991.04,717228.29,646099.25
"LOWELL GENERAL HOSPITAL","LOWELL","MA - Boston",37.1081081081081,1330804.35,716817.49,623091.12
"HENRY MEDICAL CENTER, INC","STOCKBRIDGE","GA - Atlanta",39.0128205128205,2590165.35,716088.21,641367.35
"NW ARKANSAS HOSPITALS, LLC","SPRINGDALE","AR - Springdale",41.8928571428571,3636202.18,715752.65,609758.74
"KINGSBROOK JEWISH MEDICAL CENTER","BROOKLYN","NY - Manhattan",38.2321428571429,2323340.62,715715.18,668030.23
"MEDICAL CENTER OF MCKINNEY","MCKINNEY","TX - Dallas",33,4754120.64,714885.18,578324.96
"WILLIAMSPORT REGIONAL MEDICAL CENTER","WILLIAMSPORT","PA - Danville",36.2073170731707,2027009.8,714676.1,629458.5
"MEMORIAL HOSPITAL OF CARBONDALE","CARBONDALE","MO - St. Louis",36.9210526315789,2051188.9,713827.31,641933.19
"FALMOUTH HOSPITAL","FALMOUTH","MA - Boston",38.1014492753623,1193840.95,713693.96,647839.32
"ST CHARLES MEDICAL CENTER - BEND","BEND","OR - Bend",35.1408450704225,2168542.93,713486.59,629776.58
"SOUTHWEST GENERAL HEALTH CENTER","MIDDLEBURG HEIG","OH - Cleveland",50.5274725274725,2994795.7,713377.37,597138.31
"KOOTENAI MEDICAL CENTER","COEUR D'ALENE","WA - Spokane",35.0657894736842,1761543.99,712823.81,622060.29
"UNDERWOOD - MEMORIAL HOSPITAL","WOODBURY","PA - Philadelphia",46.1219512195122,5217439.6,712230.42,640718.81
"ST VINCENT'S EAST","BIRMINGHAM","AL - Birmingham",33.5287356321839,2414914.68,711803.41,592507.35
"ERIE COUNTY MEDICAL CENTER","BUFFALO","NY - Buffalo",26.8301886792453,1220857.94,710547.38,651389.57
"SKYLINE MEDICAL CENTER","NASHVILLE","TN - Nashville",39.056338028169,3467537.01,710307.84,589121.08
"DOWNEY REGIONAL MEDICAL CENTER","DOWNEY","CA - Los Angeles",31.7076923076923,4476990.74,709913.82,652248.66
"BLAKE MEDICAL CENTER","BRADENTON","FL - Bradenton",52.7021276595745,4408889.87,709683.3,604172.06
"ST MARY MEDICAL CENTER INC","HOBART","IN - Gary",45.6626506024096,2093968.45,708671.23,614218.32
"CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES","COLORADO SPRING","CO - Colorado Springs",50.8876404494382,3289220.28,708084.88,602513.8
"WELLMONT BRISTOL REGIONAL MEDICAL CENTER","BRISTOL","TN - Kingsport",50.2068965517241,2131177.43,707827.2,600840.65
"MERCY MEDICAL CENTER","CANTON","OH - Canton",36.4457831325301,1283687.75,707617.84,585455.83
"OAK HILL HOSPITAL","BROOKSVILLE","FL - Hudson",50.2444444444444,6407309.66,706956.2,607559.23
"MERCY HOSPITAL FAIRFIELD","FAIRFIELD","OH - Cincinnati",41.7560975609756,2177264.59,706019.09,576955.82
"ST PETER'S HOSPITAL","ALBANY","NY - Albany",58.0681818181818,2589252.31,705608.33,604613.3
"JUPITER MEDICAL CENTER","JUPITER","FL - Fort Lauderdale",36.5975609756098,3393358.11,705563.05,576510.47
"SENTARA LEIGH HOSPITAL","NORFOLK","VA - Norfolk",56.9404761904762,2255934.64,705455.5,579450.64
"SAINT ELIZABETH REGIONAL MEDICAL CENTER","LINCOLN","NE - Lincoln",48.358024691358,2288635.41,705446.6,593915.96
"COMMUNITY MEDICAL CENTER","SCRANTON","PA - Scranton",37.0705882352941,2519277.48,705233.43,614371.38
"CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH","OMAHA","NE - Omaha",23.8518518518519,3821734.4,705213.64,649622.5
"ELIZA COFFEE MEMORIAL HOSPITAL","FLORENCE","AL - Birmingham",45.3604651162791,3177042.74,704962.46,614552.52
"ST LUKES HOSPITAL","DULUTH","MN - Duluth",39.7042253521127,1848665.97,704325.97,630886.64
"CRITTENTON HOSPITAL MEDICAL CENTER","ROCHESTER","MI - Royal Oak",41.7283950617284,2468663.16,703830.55,627434.08
"CAMBRIDGE HEALTH ALLIANCE","CAMBRIDGE","MA - Boston",36.2307692307692,1024298.58,703580.49,646744.19
"OPELOUSAS GENERAL HEALTH SYSTEM","OPELOUSAS","LA - Lafayette",33.1666666666667,1805205.01,702658.13,635163.28
"GOOD SAMARITAN HOSPITAL","KEARNEY","NE - Omaha",36.3692307692308,1799410.06,701829.28,613555.93
"SHAWNEE MISSION MEDICAL CENTER","SHAWNEE MISSION","MO - Kansas City",49.195652173913,3707415.93,701653.48,589184.47
"GOOD SAMARITAN REGIONAL MEDICAL CENTER","CORVALLIS","OR - Eugene",22.9846153846154,2081073.77,700868.44,616179.73
"BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK","NORTH LITTLE RO","AR - Little Rock",41.1034482758621,2094652.51,700796.89,604831.66
"UPMC ST MARGARET","PITTSBURGH","PA - Pittsburgh",33.4305555555556,2433732.86,700376.27,589999.6
"WASHINGTON REGIONAL MED CTR AT NORTH HILLS","FAYETTEVILLE","AR - Springdale",41.4146341463415,2593783.84,699963.52,570417.42
"SADDLEBACK MEMORIAL MEDICAL CENTER","LAGUNA HILLS","CA - Orange County",43.6753246753247,3842982.05,699506.03,604006.02
"FRANCISCAN ST ANTHONY HEALTH - CROWN POINT","CROWN POINT","IN - Gary",41.4883720930233,2112442.93,699225.76,597523.09
"DOYLESTOWN HOSPITAL","DOYLESTOWN","PA - Philadelphia",39.45,3390960.2,698927.68,608589.11
"PROVIDENCE MEMORIAL HOSPITAL","EL PASO","TX - El Paso",32.4225352112676,4616618.88,698715.47,601152.16
"JACKSON HOSPITAL & CLINIC INC","MONTGOMERY","AL - Montgomery",45.0120481927711,2636392.33,698706.34,605349.81
"PROVIDENCE HOSPITAL","MOBILE","AL - Mobile",37.7906976744186,2279216.53,698698.83,567531.02
"SUTTER DELTA MEDICAL CENTER","ANTIOCH","CA - Contra Costa County",32.3559322033898,3424677.6,696332.9,639627.83
"ST JOSEPH MEDICAL CENTER","READING","PA - Reading",32.6612903225806,1777794.22,694880.47,542904.81
"JOHNSTON MEMORIAL HOSPITAL","SMITHFIELD","NC - Raleigh",40.4305555555556,2499967.24,694613.14,622549.32
"PORT HURON HOSPITAL","PORT HURON","MI - Detroit",45.0813953488372,1973267.27,694329.92,609967.54
"EPHRAIM MCDOWELL REGIONAL MEDICAL CENTER","DANVILLE","KY - Lexington",31.6493506493506,1667050.76,694326.71,603011.43
"SHANNON MEDICAL CENTER","SAN ANGELO","TX - San Angelo",42.4303797468354,2224986.83,693462.56,579005.79
"EXEMPLA LUTHERAN MEDICAL CENTER","WHEAT RIDGE","CO - Denver",35.5609756097561,3351068.53,692866.2,587794.81
"NORWOOD HOSPITAL","NORWOOD","MA - Boston",45.9,1164425.59,692176.62,614482.38
"SSM ST JOSEPH HEALTH CENTER","SAINT CHARLES","MO - St. Louis",35.2948717948718,2499130.34,692016.99,607871.18
"LOS ANGELES COMMUNITY HOSPITAL","LOS ANGELES","CA - Los Angeles",33.811320754717,2028591.5,691630.35,645348.03
"NORTHEAST ALABAMA REGIONAL MED CENTER","ANNISTON","AL - Birmingham",41.5,2749643.55,691346.5,604246.33
"POUDRE VALLEY HOSPITAL","FORT COLLINS","CO - Fort Collins",42.7594936708861,2343094.96,691284.73,566668.82
"PARMA COMMUNITY GENERAL HOSPITAL","PARMA","OH - Cleveland",55.5333333333333,1726241.62,691187.24,601092.27
"MARYLAND GENERAL  HOSPITAL","BALTIMORE","MD - Baltimore",34.9245283018868,734923.39,690970.83,650793.24
"CAPE CORAL HOSPITAL","CAPE CORAL","FL - Fort Myers",53.1208791208791,2972876.93,690209.15,595903.18
"PIEDMONT FAYETTE HOSPITAL","FAYETTEVILLE","GA - Atlanta",41.4683544303797,2536515.79,689995.48,575810.87
"BAYLOR MEDICAL CENTER AT IRVING","IRVING","TX - Dallas",33.4861111111111,2407074,689420.02,596103.56
"CIVISTA MEDICAL CENTER","LA PLATA","DC - Washington",37.1304347826087,729838.06,687533.99,619888.86
"METHODIST SUGAR LAND HOSPITAL","SUGAR LAND","TX - Houston",34.6933333333333,3709013.3,687472.44,609098.11
"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","ENCINITAS","CA - San Diego",28.8928571428571,3591200.07,687063.26,591998.92
"GLENS FALLS HOSPITAL","GLENS FALLS","NY - Albany",46.4827586206897,1647664.89,686693.15,596136.1
"BAYSHORE COMMUNITY HOSPITAL","HOLMDEL","NJ - Camden",36.2051282051282,4359406.93,686451.72,621815.91
"LOYOLA GOTTLIEB MEMORIAL HOSPITAL","MELROSE PARK","IL - Melrose Park",30.9538461538462,4736496.66,686185.25,537736.9
"CAPITAL HEALTH SYSTEM-FULD CAMPUS","TRENTON","PA - Philadelphia",35.265625,6087991.85,685953.38,565878.04
"TIFT REGIONAL MEDICAL CENTER","TIFTON","FL - Tallahassee",35.4324324324324,2444318.81,685867.27,611905.54
"HAMILTON MEDICAL CENTER","DALTON","GA - Atlanta",37.7746478873239,2181156.06,685446.28,575316.86
"REGIONAL HOSPITAL OF SCRANTON","SCRANTON","PA - Scranton",43.6829268292683,2388993.88,684729.89,616024.57
"PORTNEUF MEDICAL CENTER","POCATELLO","UT - Salt Lake City",28,1522458.76,684511.02,618803.26
"UTAH VALLEY REGIONAL MEDICAL CENTER","PROVO","UT - Provo",32.7727272727273,1772062.98,684443.35,557909.98
"LAWRENCE HOSPITAL CENTER","BRONXVILLE","NY - White Plains",40.7808219178082,2287720.86,684401.79,601889.69
"ST ELIZABETH MEDICAL CENTER","UTICA","NY - Elmira",42.6,1641273,683297.93,607689.67
"OUR LADY OF THE RESURRECTION MED CTR","CHICAGO","IL - Chicago",43.5074626865672,2796463.82,683191.89,591150.93
"HILLCREST BAPTIST MEDICAL CENTER","WACO","TX - Waco",30.3676470588235,2106998.48,683120.28,601018.91
"PECONIC BAY MEDICAL CENTER","RIVERHEAD","NY - East Long Island",37.6176470588235,2794519.89,682899.74,620915.31
"MERCY GILBERT MEDICAL CENTER","GILBERT","AZ - Mesa",29.4782608695652,3986735.2,682858,595671.17
"SENTARA CAREPLEX HOSPITAL","HAMPTON","VA - Newport News",39.2564102564103,2154262.12,681831.55,581294.26
"ANDERSON REGIONAL MEDICAL CENTER","MERIDIAN","MS - Meridian",39.7625,2253103.18,681108.81,593139.12
"DANVILLE REGIONAL MEDICAL CENTER","DANVILLE","NC - Durham",45.7721518987342,2189233.62,680594.3,580737.75
"HOLY SPIRIT HOSPITAL","CAMP HILL","PA - Harrisburg",44.4117647058824,2728040.3,680346.06,598545.3
"SPRING VALLEY HOSPITAL MEDICAL CENTER","LAS VEGAS","NV - Las Vegas",26.6911764705882,5073007.49,680225.93,587459.64
"EASTERN IDAHO REGIONAL MEDICAL CENTER","IDAHO FALLS","ID - Idaho Falls",27,2390364.03,680117.03,566169.96
"ADVOCATE TRINITY HOSPITAL","CHICAGO","IL - Chicago",39.4615384615385,2053601.63,679920.03,593871.38
"SISTERS OF CHARITY HOSPITAL","BUFFALO","NY - Buffalo",32.9295774647887,1488172.1,678963.75,591734.55
"FRYE REGIONAL MEDICAL CENTER","HICKORY","NC - Hickory",41.7375,3666595.12,678550.75,581349.88
"NORTHWEST MEDICAL CENTER","TUCSON","AZ - Tucson",40.9493670886076,3405854.34,678522.89,588668.94
"ST FRANCIS HEALTH CENTER INC","TOPEKA","KS - Topeka",35.5,1844591.14,678080.42,577584.77
"MAUI MEMORIAL MEDICAL CENTER","WAILUKU","HI - Honolulu",21.3571428571429,1397601.61,677832.35,627575.46
"COMMUNITY HOSPITAL EAST","INDIANAPOLIS","IN - Indianapolis",46,1987018.39,677830.02,607428.62
"VALLEY REGIONAL MEDICAL CENTER","BROWNSVILLE","TX - Harlingen",29.4576271186441,4154382.2,677372.14,602829.45
"HIALEAH HOSPITAL","HIALEAH","FL - Miami",34.0175438596491,4050875.97,677129.16,621231.35
"KINGMAN REGIONAL MEDICAL CENTER","KINGMAN","AZ - Phoenix",31.3492063492063,2397376.73,675687.72,590832.78
"ST MARY'S MEDICAL CENTER","SAN FRANCISCO","CA - San Francisco",26,3891091.18,675585.84,611188.04
"SAN GABRIEL VALLEY MEDICAL CENTER","SAN GABRIEL","CA - Los Angeles",33.25,4705608.05,673792.68,626046.51
"HARDIN MEMORIAL HOSPITAL","ELIZABETHTOWN","KY - Louisville",50.5747126436782,1393640.18,672909.58,586399.47
"NORTHSIDE HOSPITAL","SAINT PETERSBUR","FL - St. Petersburg",33.0769230769231,5513844.92,672907.6,582509.75
"MEDCENTRAL HEALTH SYSTEM","MANSFIELD","OH - Columbus",47.2352941176471,1851727.61,672700.29,584205.65
"MCKAY DEE HOSPITAL CENTER","OGDEN","UT - Ogden",35.4722222222222,1752823.9,671625.27,548235.25
"SOUTHERN REGIONAL MEDICAL CENTER","RIVERDALE","GA - Atlanta",37.8955223880597,2158310.35,671445.06,598239.63
"IREDELL MEMORIAL HOSPITAL INC","STATESVILLE","NC - Winston-Salem",40.4303797468354,2601038.16,670703.45,565846.98
"HEMET VALLEY MEDICAL CENTER","HEMET","CA - San Bernardino",37.2063492063492,2444747.17,670378.5,618195.55
"GATEWAY MEDICAL CENTER","CLARKSVILLE","TN - Nashville",43.0641025641026,2976455.71,669426.09,580510.96
"MAIN LINE HOSPITAL PAOLI","PAOLI","PA - Philadelphia",40.5189873417722,4132879.25,669311.91,546216.88
"SAINT FRANCIS MEMORIAL HOSPITAL","SAN FRANCISCO","CA - San Francisco",23.2954545454545,3990679.68,669121.82,626870.48
"MERCY HOSPITAL","BUFFALO","NY - Buffalo",34.2837837837838,1518191.56,668695.38,589268.98
"GLENWOOD REGIONAL MEDICAL CENTER","WEST MONROE","LA - Monroe",42.2771084337349,3337210.96,668085.68,588492.76
"HAYS MEDICAL CENTER","HAYS","KS - Wichita",25.9818181818182,2391967.24,666967.3,606099.82
"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","RAHWAY","NJ - Newark",36.2816901408451,6333651.83,666924.43,572276.24
"METHODIST WILLOWBROOK HOSPITAL","HOUSTON","TX - Houston",31.5131578947368,3929760.76,666837.08,594245.57
"NEWTON MEMORIAL HOSPITAL","NEWTON","NJ - Morristown",39.4444444444444,5187143.1,666781.69,581372.29
"CHRISTUS ST PATRICK HOSPITAL","LAKE CHARLES","LA - Lake Charles",33.7260273972603,3122998.96,666327.04,507505.64
"STURDY MEMORIAL HOSPITAL","ATTLEBORO","RI - Providence",35.4782608695652,1145447.54,666138.5,553166.32
"DOCTORS MEDICAL CENTER-SAN PABLO","SAN PABLO","CA - San Francisco",29.5576923076923,3784366.25,665963.49,624940.18
"FIRELANDS REGIONAL MEDICAL CENTER","SANDUSKY","OH - Cleveland",38.3717948717949,2001679.46,665873.14,555900.23
"CLEVELAND REGIONAL MEDICAL CENTER","SHELBY","NC - Charlotte",45.4078947368421,1853258.76,664911.8,586942.32
"SAMARITAN MEDICAL CENTER","WATERTOWN","NY - Syracuse",32.1666666666667,1283320.03,664591.37,607116.27
"MOUNTAIN VIEW REGIONAL MEDICAL CENTER","LAS CRUCES","TX - El Paso",28.6133333333333,2640021.18,663986.77,592307.55
"BEAUMONT HOSPITAL, GROSSE POINTE","GROSSE POINTE","MI - Detroit",44.9367088607595,1675744.53,663775.84,580670.76
"OAKWOOD SOUTHSHORE MEDICAL CENTER","TRENTON","MI - Dearborn",39.6376811594203,1956333.53,663632.8,597785.63
"FORT WALTON BEACH MEDICAL CENTER","FORT WALTON BEA","FL - Pensacola",39.7857142857143,5937936.71,663510.27,550563.81
"TRMC OF ORANGEBURG & CALHOUN","ORANGEBURG","SC - Columbia",43.265625,2410898.69,663497.97,589620.42
"JORDAN HOSPITAL INC","PLYMOUTH","MA - Boston",49,1164215.2,662853.06,583474.43
"UPMC PASSAVANT","PITTSBURGH","PA - Pittsburgh",35.9885057471264,2935104.26,661789.64,542605.28
"ST MARKS HOSPITAL","SALT LAKE CITY","UT - Salt Lake City",35.4,2197909.33,661424.56,517049.73
"NEWTON-WELLESLEY HOSPITAL","NEWTON","MA - Boston",47.1038961038961,2025194.66,661045.4,590683.49
"TEXAS HEALTH PRESBYTERIAN HOSPITAL-WNJ","SHERMAN","TX - Dallas",37.24,2833422.84,660898.35,576010.85
"GADSDEN REGIONAL MEDICAL CENTER","GADSDEN","AL - Birmingham",42.4177215189873,6558368.46,660793.78,560740.23
"KINGWOOD MEDICAL CENTER","KINGWOOD","TX - Houston",34.6901408450704,4529878.85,660694.96,557903.76
"ATRIUM MEDICAL CENTER","FRANKLIN","OH - Kettering",35.7916666666667,3184969.55,660501.33,580600.53
"METHODIST HOSPITAL OF SACRAMENTO","SACRAMENTO","CA - Sacramento",34.7872340425532,2985393.78,660297.76,584722.81
"CAROLINAS MEDICAL CENTER-UNION","MONROE","NC - Charlotte",42.0714285714286,1253180.52,659784.38,569797.09
"KNAPP MEDICAL CENTER","WESLACO","TX - Harlingen",36.169014084507,1796966.9,659388.61,596558
"CABELL-HUNTINGTON HOSPITAL INC","HUNTINGTON","WV - Huntington",36.875,1570447.34,658947.04,582955.04
"GRANDVIEW HOSPITAL & MEDICAL CENTER","DAYTON","OH - Dayton",32.327868852459,2664975.81,658475.18,573227.46
"CARONDELET ST  MARYS HOSPITAL","TUCSON","AZ - Tucson",29.0833333333333,2521471.75,657825.14,584746.37
"MERCY HOSPITAL","BAKERSFIELD","CA - Bakersfield",27.5762711864407,3715363.65,657192.47,589877.46
"OUR LADY OF LOURDES REGIONAL MEDICAL CENTER, INC","LAFAYETTE","LA - Lafayette",37.0126582278481,2006871.25,656888.97,553711.28
"BRONSON BATTLE CREEK HOSPITAL","BATTLE CREEK","MI - Kalamazoo",44.3125,1561086.83,656727.12,565586.9
"ROSE MEDICAL CENTER","DENVER","CO - Denver",29.21875,3329797.96,655460.41,555320.96
"CENTURA HEALTH-ST ANTHONY HOSPITAL","LAKEWOOD","CO - Denver",27.4333333333333,3616220.6,654913.46,578893.99
"NORTHWEST HOSPITAL","SEATTLE","WA - Seattle",33.6811594202899,2439775.32,654851.65,572589.85
"WEST SUBURBAN MEDICAL CENTER","OAK PARK","IL - Melrose Park",28.4426229508197,2118562.12,654673.39,597044.89
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC","BINGHAMTON","NY - Binghamton",41.1153846153846,1373759.19,654235.9,587298.44
"VALLEYCARE MEDICAL CENTER","PLEASANTON","CA - Alameda County",27.66,4525172.15,654052.22,590995.28
